Date,value
"September 10, 2020",73.548
"September 11, 2020",73.435
"September 12, 2020",73.477
"September 13, 2020",73.477
"September 14, 2020",73.399
"September 15, 2020",73.605
"September 16, 2020",73.468
"September 17, 2020",73.626
"September 18, 2020",73.54
"September 19, 2020",73.61
"September 20, 2020",73.61
"September 21, 2020",73.583
"September 22, 2020",73.542
"September 23, 2020",73.548
"September 24, 2020",73.737
"September 25, 2020",73.762
"September 26, 2020",73.7
"September 27, 2020",73.7
"September 28, 2020",73.812
"September 29, 2020",73.777
"September 30, 2020",73.564
"October 1, 2020",73.221
"October 2, 2020",73.302
"October 3, 2020",73.323
"October 4, 2020",73.323
"October 5, 2020",73.113
"October 6, 2020",73.474
"October 7, 2020",73.362
"October 8, 2020",73.323
"October 9, 2020",72.985
"October 10, 2020",72.961
"October 11, 2020",72.961
"October 12, 2020",73.373
"October 13, 2020",73.424
"October 14, 2020",73.326
"October 15, 2020",73.454
"October 16, 2020",73.437
"October 19, 2020",73.359
"October 20, 2020",73.476
"October 21, 2020",73.601
"October 22, 2020",73.667
"October 23, 2020",73.853
"October 24, 2020",73.834
"October 25, 2020",73.834
"October 26, 2020",73.956
"October 27, 2020",73.738
"October 28, 2020",74.215
"October 29, 2020",74.402
"October 30, 2020",74.592
"November 2, 2020",74.552
"November 3, 2020",74.638
"November 4, 2020",74.349
"November 5, 2020",73.876
"November 6, 2020",73.974
"November 7, 2020",73.981
"November 8, 2020",73.981
"November 9, 2020",74.021
"November 10, 2020",74.347
"November 11, 2020",74.514
"November 12, 2020",74.6
"November 13, 2020",74.585
"November 14, 2020",74.538
"November 15, 2020",74.538
"November 16, 2020",74.388
"November 17, 2020",74.431
"November 18, 2020",74.102
"November 19, 2020",74.149
"November 20, 2020",74.12
"November 21, 2020",74.163
"November 22, 2020",74.163
"November 23, 2020",74.231
"November 24, 2020",74.032
"November 25, 2020",73.792
"November 26, 2020",73.815
"November 27, 2020",74.014
"November 28, 2020",73.962
"November 29, 2020",73.962
"November 30, 2020",74.015
"December 1, 2020",73.505
"December 2, 2020",73.72
"December 3, 2020",73.826
"December 4, 2020",73.773
"December 5, 2020",73.799
"December 6, 2020",73.799
"December 7, 2020",73.764
"December 8, 2020",73.686
"December 9, 2020",73.805
"December 10, 2020",73.736
"December 11, 2020",73.736
"December 12, 2020",73.738
"December 13, 2020",73.738
"December 14, 2020",73.689
"December 15, 2020",73.519
"December 16, 2020",73.665
"December 17, 2020",73.549
"December 18, 2020",73.522
"December 19, 2020",73.607
"December 20, 2020",73.607
"December 21, 2020",74.004
"December 22, 2020",73.887
"December 23, 2020",73.792
"December 24, 2020",73.52
"December 28, 2020",73.499
"December 29, 2020",73.354
"December 30, 2020",73.187
"December 31, 2020",73.012
"January 1, 2021",73.093
"January 2, 2021",73.092
"January 3, 2021",73.092
"January 4, 2021",73.096
"January 5, 2021",73.164
"January 6, 2021",73.165
"January 7, 2021",73.429
"January 8, 2021",73.322
"January 9, 2021",73.378
"January 10, 2021",73.378
"January 11, 2021",73.501
"January 12, 2021",73.265
"January 13, 2021",73.079
"January 14, 2021",73.086
"January 15, 2021",73.161
"January 16, 2021",73.163
"January 17, 2021",73.163
"January 18, 2021",73.18
"January 19, 2021",73.192
"January 20, 2021",72.937
"January 21, 2021",72.956
"January 22, 2021",72.993
"January 23, 2021",72.999
"January 24, 2021",72.999
"January 25, 2021",72.992
"January 26, 2021",72.926
"January 27, 2021",73.032
"January 28, 2021",72.935
"January 29, 2021",72.874
"January 30, 2021",72.907
"February 1, 2021",73.166
"February 2, 2021",72.971
"February 3, 2021",72.83
"February 4, 2021",72.926
"February 5, 2021",72.847
"February 6, 2021",72.788
"February 7, 2021",72.788
"February 8, 2021",72.903
"February 9, 2021",72.861
"February 10, 2021",72.8
"February 11, 2021",72.707
"February 12, 2021",72.598
"February 13, 2021",72.591
"February 14, 2021",72.591
"February 15, 2021",72.624
"February 16, 2021",72.843
"February 17, 2021",72.827
"February 18, 2021",72.637
"February 19, 2021",72.511
"February 20, 2021",72.551
"February 21, 2021",72.554
"February 22, 2021",72.486
"February 23, 2021",72.428
"February 24, 2021",72.382
"February 25, 2021",72.736
"February 26, 2021",73.968
"February 27, 2021",73.596
"February 28, 2021",73.596
"March 1, 2021",73.369
"March 2, 2021",73.29
"March 3, 2021",72.893
"March 4, 2021",72.74
"March 5, 2021",73.294
"March 6, 2021",73.181
"March 7, 2021",73.181
"March 8, 2021",73.33
"March 9, 2021",72.904
"March 10, 2021",72.79
"March 11, 2021",72.699
"March 12, 2021",72.678
"March 13, 2021",72.689
"March 14, 2021",72.691
"March 15, 2021",72.521
"March 16, 2021",72.562
"March 17, 2021",72.577
"March 18, 2021",72.664
"March 19, 2021",72.411
"March 20, 2021",72.442
"March 21, 2021",72.442
"March 22, 2021",72.363
"March 23, 2021",72.516
"March 24, 2021",72.593
"March 25, 2021",72.648
"March 26, 2021",72.561
"March 27, 2021",72.447
"March 28, 2021",72.447
"March 29, 2021",72.705
"March 30, 2021",73.443
"March 31, 2021",73.156
"April 1, 2021",73.297
"April 2, 2021",73.382
"April 4, 2021",73.378
"April 5, 2021",73.234
"April 6, 2021",73.488
"April 7, 2021",74.334
"April 8, 2021",74.585
"April 9, 2021",74.733
"April 10, 2021",74.725
"April 11, 2021",74.725
"April 12, 2021",75.007
"April 13, 2021",75.286
"April 14, 2021",74.989
"April 15, 2021",74.726
"April 16, 2021",74.575
"April 17, 2021",74.541
"April 18, 2021",74.541
"April 19, 2021",74.87
"April 20, 2021",75.409
"April 21, 2021",75.376
"April 22, 2021",75.126
"April 23, 2021",74.928
"April 24, 2021",74.931
"April 25, 2021",74.931
"April 26, 2021",74.709
"April 27, 2021",74.597
"April 28, 2021",74.471
"April 29, 2021",74.096
"April 30, 2021",73.955
"May 1, 2021",74.096
"May 2, 2021",74.096
"May 3, 2021",73.832
"May 4, 2021",73.745
"May 5, 2021",73.77
"May 6, 2021",73.594
"May 7, 2021",73.277
"May 8, 2021",73.255
"May 9, 2021",73.255
"May 10, 2021",73.407
"May 11, 2021",73.377
"May 12, 2021",73.638
"May 13, 2021",73.444
"May 14, 2021",73.254
"May 15, 2021",73.279
"May 16, 2021",73.279
"May 17, 2021",73.346
"May 18, 2021",73.051
"May 19, 2021",73.18
"May 20, 2021",73.047
"May 21, 2021",72.918
"May 22, 2021",72.911
"May 23, 2021",72.911
"May 24, 2021",72.903
"May 25, 2021",72.795
"May 26, 2021",72.726
"May 27, 2021",72.622
"May 28, 2021",72.429
"May 29, 2021",72.394
"May 30, 2021",72.394
"May 31, 2021",72.512
"June 1, 2021",72.875
"June 2, 2021",72.977
"June 3, 2021",73.062
"June 4, 2021",72.877
"June 5, 2021",73.147
"June 6, 2021",73.147
"June 7, 2021",72.809
"June 8, 2021",72.964
"June 9, 2021",72.992
"June 10, 2021",73.041
"June 11, 2021",73.279
"June 12, 2021",73.232
"June 13, 2021",73.232
"June 14, 2021",73.184
"June 15, 2021",73.362
"June 16, 2021",73.288
"June 17, 2021",74.337
"June 18, 2021",74.144
"June 19, 2021",74.144
"June 20, 2021",74.144
"June 21, 2021",74.188
"June 22, 2021",74.336
"June 23, 2021",74.201
"June 24, 2021",74.213
"June 25, 2021",74.172
"June 26, 2021",74.225
"June 27, 2021",74.221
"June 28, 2021",74.27
"June 29, 2021",74.237
"June 30, 2021",74.305
"July 1, 2021",74.564
"July 2, 2021",74.521
"July 3, 2021",74.519
"July 4, 2021",74.519
"July 5, 2021",74.301
"July 6, 2021",74.755
"July 7, 2021",74.808
"July 8, 2021",74.747
"July 9, 2021",74.536
"July 10, 2021",74.488
"July 11, 2021",74.488
"July 12, 2021",74.558
"July 13, 2021",74.531
"July 14, 2021",74.549
"July 15, 2021",74.548
"July 16, 2021",74.608
"July 17, 2021",74.611
"July 18, 2021",74.611
"July 19, 2021",74.997
"July 20, 2021",74.578
"July 21, 2021",74.472
"July 22, 2021",74.457
"July 23, 2021",74.453
"July 24, 2021",74.428
"July 25, 2021",74.428
"July 26, 2021",74.333
"July 27, 2021",74.521
"July 28, 2021",74.484
"July 29, 2021",74.264
"July 30, 2021",74.346
"July 31, 2021",74.379
"August 1, 2021",74.379
"August 2, 2021",74.344
"August 3, 2021",74.214
"August 4, 2021",74.194
"August 5, 2021",74.101
"August 6, 2021",74.23
"August 7, 2021",74.242
"August 8, 2021",74.211
"August 9, 2021",74.466
"August 10, 2021",74.438
"August 11, 2021",74.224
"August 12, 2021",74.294
"August 13, 2021",74.206
"August 14, 2021",74.217
"August 15, 2021",74.217
"August 16, 2021",74.178
"August 17, 2021",74.4
"August 18, 2021",74.295
"August 19, 2021",74.33
"August 20, 2021",74.294
"August 21, 2021",74.353
"August 22, 2021",74.353
"August 23, 2021",74.131
"August 24, 2021",74.158
"August 25, 2021",74.212
"August 26, 2021",74.138
"August 27, 2021",73.471
"August 28, 2021",73.497
"August 29, 2021",73.497
"August 30, 2021",73.217
"August 31, 2021",72.979
"September 1, 2021",72.98
"September 2, 2021",73.013
"September 3, 2021",73.008
"September 4, 2021",72.995
"September 5, 2021",72.995
"September 6, 2021",73.12
"September 7, 2021",73.431
"September 8, 2021",73.814
"September 9, 2021",73.538
"September 10, 2021",73.514
"September 11, 2021",73.526
"September 12, 2021",73.526
"September 13, 2021",73.619
